slug,title,gaggle,songwriter,words,band
"worried-grannies-blues","Worried Grannies Blues","Gray's Harbor","Robin Moore","189","tight"
"science-here-science-there","Science Here, Science There","Tucson","Lee","190","tight"
"65-000-votes","65.000 Votes","Triangle","Vicki Ryder","191","tight"
"are-you-woke","Are You Woke?","Central Florida","Barbara Mars and Dorothy Cresswell","191","tight"
"our-constitution-revised-for-no-kings-day-2025","Our Constitution Revised for No Kings Day 2025","Triangle","Vicki Ryder","191","tight"
"war-vs-climate","War vs Climate","New Mexico","Marcy Matasick and Sally-Alice Thompson","191","tight"
"there-might-be-a-gun","There Might Be a Gun","Madison","Sheila Plotkin","192","tight"
"most-difficult-time-of-the-year","Most Difficult Time of the Year","Kingston (historical)","Rose DeShaw","193","tight"
"oh-tillis-do-your-job-or-insert-congress-or-other-politicians-name","Oh, Tillis, Do Your Job! (or insert Congress or other politician’s name) )","Piedmont","Ferrilyn Sourdiffe and Lyn McCoy","193","tight"
"poor-pm-pops-pensions-o-that-wascally-harper","Poor PM Pops Pensions – O That Wascally Harper!","Kingston (historical)","Rose DeShaw","193","tight"
"save-our-postal-service","Save Our Postal Service","Triangle","Vicki Ryder","193","tight"
"the-more-we-share-our-stories","The More We Share Our Stories","Piedmont","Paula Miller","193","tight"
"the-times-they-do-need-a-changin","The Times They Do Need a Changin’","Westchester (historical)","Audrey Roberts","193","tight"
"uvalde","Uvalde","New Mexico","Marcy Matasick","193","tight"
"we-want-medicare-for-all","We Want Medicare For All","Tucson","Lee Stanfield","193","tight"
"corporations-run-the-world","Corporations Run The World","New York City Metro","Corinne Willinger and Sunny Armer","195","tight"
"glad-to-reycle-my-lunch","Glad To Reycle My Lunch","Kingston (historical)","Rose DeShaw","195","tight"
"off-shore-drilling","Off Shore Drilling","Greater Westerly RI","Pedrolina Paige Delaparrucca","195","tight"
"oh-donny-boy","Oh, Donny Boy","Grant County","Deborah K. Snider","195","tight"
"shockin-potus","Shockin’ POTUS","Olympia","Janet Jordan","195","tight"
"knittin-in-pink","Knittin’ in Pink","Rochester","Vicki Ryder","196","wide"
"thats-what-its-all-about","That’s What It’s All About","Unknown","Sharon Ann Wurmann and Vicki Lewin Ryder","196","wide"
"we-shall-not-be-moved-immigrants-version","We Shall Not Be Moved (Immigrants version)","New Mexico","Marcy Matasick","196","wide"
"workplace-safety","Workplace Safety","Triangle","Vicki Ryder","196","wide"
"good-news-occupy-wall-streets-a-coming","Good News! Occupy Wall Street’s a-Coming","New York City Metro","Alice Sutter","197","wide"
"climate-emergency","Climate Emergency","Davis","Granny Carol","198","wide"
"hit-the-road-trump","Hit the Road, Trump!","Piedmont","Linda Hileman","198","wide"
"we-need-planned-parenthood","We Need Planned Parenthood","Rochester","Vicki Ryder","198","wide"
"when-civil-rights-belong-to-all","When Civil Rights Belong To All","New Mexico","Marcy Matasick","198","wide"
"battle-hymn-of-the-people","Battle Hymn of the People","Rochester","Vicki Ryder","200","wide"
"government-shutdown","Government Shutdown","Rochester","Vicki Ryder","200","wide"
"warcasm","WARCASM","Tucson","Lee Stanfield","200","wide"
"gotta-shut-you-down-lanl-los-alamos-national-lab","Gotta Shut You Down LANL (Los Alamos National Lab)","New Mexico","Marcy Matasick","201","wide"
"hey-dude","Hey, Dude!","Tucson","Connie Graves","201","wide"
"playstation-war-is-not-a-videogame","PlayStation: War Is Not a Videogame","New York City Metro","Sunny Armer","201","wide"
"theyve-got-to-go","THEY’VE GOT TO GO!","Triangle","Vicki Ryder","201","wide"
"do-lord","Do Lord","New Mexico","Marcy Matasick","202","wide"
"song-for-the-occupations-no-more","Song for the Occupations (No More!)","Triangle","Vicki Ryder","202","wide"
"down-in-the-valleys-antiwar-song","Down In The Valleys – Antiwar Song","New Jersey (historical)","Lynn Chong","203","wide"
"friggin-drillin-rigs","Friggin’ Drillin’ Rigs","Rochester","Vicki Ryder","203","wide"
"montreal-massacre-names","Montreal Massacre Names","Kingston (historical)","Rose DeShaw","203","wide"
"more-than-half-the-sky","More Than Half the Sky","Victoria (historical)","Unlisted Songwriter","204","wide"
"no-bounds-of-mercy","NO BOUNDS OF MERCY","New Mexico","Kathy Barket and Marcy Matasick","204","wide"
"shoes-shoes-glorious-shoes","Shoes, Shoes, Glorious Shoes","Montreal","Montreal?","204","wide"
"chanson-sur-les-bouteilles-de-vin","Chanson Sur Les Bouteilles de Vin","Montreal","Ellen Moore","205","wide"
"corporate-persons-have-the-right-to-vote","Corporate Persons Have the Right to Vote","WOWW (historical)","Nora Freeman and Sunny Armer","205","wide"
"dementia","DEMENTIA","Santa Fe (historical)","Marcy Matasick","205","wide"
"no-never-no-more","No Never No More","Madison","Sheila Plotkin","205","wide"
